,voter,vote,weight
0,osmo1qqylncaa4w89st0p6vh6z0lvms4eh4jxahz5al,YES,18763856
1,osmo1qqg9z5473z4f842c9nddc2942mj82lw8aq5dh8,NO,202604118
2,osmo1qqfvf2u02472mau0w3vufvqt2539lwnpgpkzdh,YES,115000000
3,osmo1qqkjdgguw6y0ljfmrw6nn50mgagk7jm7ke8a2r,YES,250000000
4,osmo1qqudhxuc3eg8u6pshyrcz5ta8kt6lcfw0zhlep,YES,0
5,osmo1qpp5hfm28lmc3q3wtz7nvfufp6dfvpxzrk767q,YES,10030000
6,osmo1qp9vtraygwvyt9y2hvp7z9vfrnj6ltphs52dwz,ABSTAIN,2005993509
7,osmo1qpvklksfgkmr6zwnuqhy2jh96v5rx2pa8ej9fj,YES,5474442183
8,osmo1qpwz9katv9jskk53mypcyvfglp6qstcducxlzw,NO,55000000
9,osmo1qps3kdxvyt73s08hgq90kqqareuucy9m76s0k7,YES,2010612904
10,osmo1qpnaf57zrf8s6wddx05yk8xmnkjg7yrmg7x2ng,VETO,21000000
11,osmo1qpn7ztngdzws6vnzq4fp9ux694ere58ja95pau,YES,121300000000
12,osmo1qphy2vce2w4evtaw6r465cehxmacz87w02sv6w,YES,0
13,osmo1qpufd30lwqas532kc94z5505uzxymrl2aguvx2,NO,254493140
14,osmo1qzgkayy06kg8ykkhp2aznelzhv48ue6nasy5xv,ABSTAIN,135000000
15,osmo1qztzc3pze6d3w5cpat4ysqhv46gxqf0hpycqt4,YES,1413142898
16,osmo1qzen85fehr6ud2fnmnlmzu7xddekn30yla5l6q,YES,11667259
17,osmo1qrysm5atuc6ycxhfgerprntuhg3hfqw5p9w2ds,YES,10000000
18,osmo1qrg60yrf7avsjegk0hrewecydu5atzrd0kxz82,NO,486327454
19,osmo1qr20et89w8z85fjkelakvfx0d3t0nvqkvnu46h,YES,2000000000
20,osmo1qr2c8dcdq9r5pkvd3cq4j2r9tl26uk7g2zrt2d,ABSTAIN,332100000
21,osmo1qrdglfal54npzae3rf068cy0p7xcdwh8tf05h8,ABSTAIN,0
22,osmo1qrdufmaedcy0ass374t5emtfplhhwn7c5zqpch,NO,194318820
23,osmo1qrsrnaxudcx9vy4uhvu35fl4m6zhmvgchs6c62,NO,390350000
24,osmo1qrmjzacxz55j3j5ylq6839xacdy3cm6e26vv4l,YES,2000000
25,osmo1qyf7w3t5gummumqrpmkyksdp6w75z8rvqn994t,ABSTAIN,0
26,osmo1qya9znudp560mr3wyutvz634dw090zvxm5ldya,YES,1014165077
27,osmo1qyl0xdxzjrzzu4we8tc0lslg0ecse6eu3gp3tl,NO,302561200
28,osmo1q9xmjvevl47420hq5362yf5ef2000yunsvap8z,YES,0
29,osmo1q98pgy3qgv3w2975wya269y4fp4np5wz0wsuvn,YES,37195327
30,osmo1q9fcm2dyddqpahezpcnrynlj7pyka2tjtnvwuz,YES,0
31,osmo1q9v42ect8x96m74ujjhjsvaz60ggk27s34hrtg,YES,0
32,osmo1q9wtp7sn4j60p05f7fjn5jje55dw3spq33y2x2,YES,7606728
33,osmo1qxy3qfy79dwvzz5k9sgd2sge7nwgqwfmgdsskl,VETO,12116687
34,osmo1qxg4kk59yqz49qkeppk0klnseecpgj6753p59j,ABSTAIN,131529
35,osmo1qx6kgrla69wmz90tn379p4kaux5prdkuzly2tw,ABSTAIN,12766797853
36,osmo1qxaf98vpkmw7d5huufcav9gd9hy0q3yu2d6j6v,YES,2000000
37,osmo1qxauw8pvg5fej2lhstdwh96ska708nm69zxku6,YES,5149598654
38,osmo1q8f8qdksktetfpvsl705zn5depqfwsnkcewd4h,VETO,78560319
39,osmo1q828ngv4wd6juc43z5dwehvdurmm7pumtx0m9h,YES,0
40,osmo1q8dzxvvfesw476njhvzcze72p49636umh9jn7n,YES,100221627
41,osmo1q8djd00dkce6saghs6sfujkew8gmk2u0n6qgkq,VETO,88690351
